                    Time	isStop	isStem	   Overall	          	 Attempted	          	                     Test	Approach                 
Sat Dec 10 18:39:26 2016	 False	  True	  0.462400	(1156/2500)	  0.462400	(1156/2500)	     cbtest_V_test_2500ex	TrigramWP train Pmixed   
Sat Dec 10 18:39:27 2016	 False	  True	  0.128400	(321/2328)	  0.137887	(321/2328)	     cbtest_V_test_2500ex	TrigramWP train WP       
Sat Dec 10 18:39:27 2016	 False	  True	  0.518400	(1296/2284)	  0.567426	(1296/2284)	     cbtest_V_test_2500ex	TrigramWP train WW       
Sat Dec 10 18:39:27 2016	 False	  True	  0.480000	(1200/2328)	  0.515464	(1200/2328)	     cbtest_V_test_2500ex	TrigramWP train Wmixed   
Sat Dec 10 18:39:27 2016	 False	  True	  0.521600	(1304/2500)	  0.521600	(1304/2500)	     cbtest_V_test_2500ex	All Approaches           

Sat Dec 10 18:39:27 2016	 False	  True	  0.318800	(797/1649)	  0.483323	(797/1649)	    cbtest_CN_test_2500ex	Trigram Simple 20        
Sat Dec 10 18:39:27 2016	 False	  True	  0.358400	(896/2442)	  0.366912	(896/2442)	    cbtest_CN_test_2500ex	Trigram Simple trian     
Sat Dec 10 18:39:27 2016	 False	  True	  0.449600	(1124/2459)	  0.457096	(1124/2459)	    cbtest_CN_test_2500ex	Trigram Simple trian&20  
Sat Dec 10 18:39:27 2016	 False	  True	  0.142800	(357/2477)	  0.144126	(357/2477)	    cbtest_CN_test_2500ex	TrigramWP 20 PP          
Sat Dec 10 18:39:27 2016	 False	  True	  0.276400	(691/2167)	  0.318874	(691/2167)	    cbtest_CN_test_2500ex	TrigramWP 20 PW          
Sat Dec 10 18:39:27 2016	 False	  True	  0.321600	(804/2477)	  0.324586	(804/2477)	    cbtest_CN_test_2500ex	TrigramWP 20 Pmixed      
Sat Dec 10 18:39:27 2016	 False	  True	  0.122000	(305/1864)	  0.163627	(305/1864)	    cbtest_CN_test_2500ex	TrigramWP 20 WP          
Sat Dec 10 18:39:27 2016	 False	  True	  0.222800	(557/1308)	  0.425841	(557/1308)	    cbtest_CN_test_2500ex	TrigramWP 20 WW          
Sat Dec 10 18:39:27 2016	 False	  True	  0.272800	(682/1866)	  0.365488	(682/1866)	    cbtest_CN_test_2500ex	TrigramWP 20 Wmixed      
Sat Dec 10 18:39:27 2016	 False	  True	  0.332400	(831/2500)	  0.332400	(831/2500)	    cbtest_CN_test_2500ex	TrigramWP MA             
Sat Dec 10 18:39:27 2016	 False	  True	  0.368800	(922/2500)	  0.368800	(922/2500)	    cbtest_CN_test_2500ex	TrigramWP MM             
Sat Dec 10 18:39:27 2016	 False	  True	  0.382400	(956/2500)	  0.382400	(956/2500)	    cbtest_CN_test_2500ex	TrigramWP mixed          
